# circuit bytes: 8200
# comm_lo: 0x80b474c1c427c2091a16c5636e7c2c3c
# comm_hi: 0xe24689d297fa89133effd76ac51a1eb6
# n_tc:    4
apples-prove: orchestrating Cairo 1 → simple-bootloader → Stwo Circle STARK
  fixture:     /home/abdel_starkware_co/grover-tax/fixtures/v0.2.json
  executable:  /home/abdel_starkware_co/grover-tax/stwo-side/cairo/target/dev/grover_tax_executable.executable.json
  bootloader:  /home/abdel_starkware_co/grover-tax/third_party/proving-utils/crates/cairo-program-runner-lib/resources/compiled_programs/bootloaders/simple_bootloader_compiled.json
2026-05-19T15:46:02.225929Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.235454Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=9.52ms time.idle=2.20µs
2026-05-19T15:46:02.240463Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.240803Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=340µs time.idle=1.06µs
2026-05-19T15:46:02.325388Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.406011Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=80.6ms time.idle=2.49µs
2026-05-19T15:46:07.654075Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:07.676179Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=22.1ms time.idle=5.10µs
2026-05-19T15:46:14.478343Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:15.892554Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=1.41s time.idle=3.50µs
2026-05-19T15:46:17.002046Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.095985Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=93.9ms time.idle=3.28µs
2026-05-19T15:46:17.159662Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.310009Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=150ms time.idle=3.84µs
2026-05-19T15:46:17.470190Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.484689Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=14.5ms time.idle=2.86µs
2026-05-19T15:46:17.484732Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
